layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf,perf_conv1_only,perf_unified
features.16.conv.1.0,features.16,104,0.2289326251189245,0.2289537597510695,2.1134632144925725e-05,2.1134632144925725e-05,0.827492596248766,0.8268015794669299,-0.0006910167818361,0.0006910167818361,2.398117260327126e-07,6.026240062517727e-10,6.026240062517727e-10,8.729786268868445e-10
features.16.conv.1.0,features.16,105,0.2289326251189245,0.2309878760821115,0.0020552509631869,0.0020552509631869,0.827492596248766,0.8273938795656466,-9.87166831194486e-05,9.87166831194486e-05,8.918662786072674e-08,3.775040280373786e-10,3.775040280373786e-10,6.33958458645667e-10
features.16.conv.1.0,features.16,106,0.2289326251189245,0.2276135113668073,-0.0013191137521172,0.0013191137521172,0.827492596248766,0.828035538005923,0.0005429417571569,0.0005429417571569,2.895678505865362e-07,1.9186303656937302e-09,1.9186303656937302e-09,2.2366262730777464e-09
features.16.conv.1.0,features.16,107,0.2289326251189245,0.225171649923132,-0.0037609751957925,0.0037609751957925,0.827492596248766,0.8276900296150049,0.0001974333662388,0.0001974333662388,7.355406239639707e-08,3.097921030814632e-09,3.097921030814632e-09,3.9616861744265486e-09
features.16.conv.1.0,features.16,108,0.2289326251189245,0.2285166576253003,-0.0004159674936242,0.0004159674936242,0.827492596248766,0.8278874629812438,0.0003948667324777,0.0003948667324777,3.1725875260235625e-08,5.016115522948894e-09,5.016115522948894e-09,5.222721984055045e-09
features.16.conv.1.0,features.16,109,0.2289326251189245,0.2288498056712363,-8.281944768825933e-05,8.281944768825933e-05,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,5.188017837554072e-08,1.2207480581949426e-09,1.2207480581949426e-09,1.3120151146073233e-09
features.16.conv.1.0,features.16,110,0.2289326251189245,0.2289556352958741,2.301017694958385e-05,2.301017694958385e-05,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,1.097016593121225e-07,6.882963643484175e-10,6.882963643484175e-10,8.25901617929059e-10
features.16.conv.1.0,features.16,111,0.2289326251189245,0.2282914677897605,-0.000641157329164,0.000641157329164,0.827492596248766,0.8277393879565647,0.0002467917077986,0.0002467917077986,2.6973214062309125e-07,1.118796166821312e-09,1.118796166821312e-09,1.4009333276776559e-09
features.16.conv.1.0,features.16,112,0.2289326251189245,0.2295889494609027,0.0006563243419782,0.0006563243419782,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,6.804993546438709e-08,3.5397143549609206e-10,3.5397143549609206e-10,3.9636208724880273e-10
features.16.conv.1.0,features.16,113,0.2289326251189245,0.2292793764452361,0.0003467513263115,0.0003467513263115,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,4.1763197344835135e-08,8.435622755875725e-10,8.435622755875725e-10,9.167618088279372e-10
features.16.conv.1.0,features.16,114,0.2289326251189245,0.2284040029279668,-0.0005286221909577,0.0005286221909577,0.827492596248766,0.8276900296150049,0.0001974333662388,0.0001974333662388,1.55753710373574e-07,9.275478163317531e-09,9.275478163317531e-09,9.749000162706523e-09
features.16.conv.1.0,features.16,115,0.2289326251189245,0.2222968979873412,-0.0066357271315833,0.0066357271315833,0.827492596248766,0.8270483711747285,-0.0004442250740375,0.0004442250740375,2.026251593179041e-07,2.9701693549100128e-08,2.9701693549100128e-08,3.253973604455673e-08
