layer_name,num_channels,score_name,activation_metric,num_points,pearson,pearson_p,spearman,spearman_p
features.3.conv.1.0,144,importance_score,phi,144,0.42095680037646827,1.4910067569555131e-07,0.13646411060204167,0.10290376041896493
features.3.conv.1.0,144,importance_score,gap_y0,144,0.28010981807970875,0.000672982340941146,0.06083916083916085,0.4688334241757972
features.3.conv.1.0,144,importance_score,gap_y1,144,0.3229939614143336,7.863806426893946e-05,0.10978619082067359,0.1902243766241986
features.3.conv.1.0,144,importance_score,activation_gap,144,0.3069992596223585,0.00018207038122883642,0.08763764970661522,0.2962553299193946
features.3.conv.1.0,144,importance_score,mean_gradient,144,0.21576641738079774,0.009395998286540442,0.23171770757977656,0.0051977294755166225
features.3.conv.2,24,importance_score,phi,24,-0.13499563362143419,0.5293978917297215,0.04,0.8527804394339904
features.3.conv.2,24,importance_score,gap_y0,24,-0.15320847985527536,0.4747733951085155,-0.02869565217391304,0.8941129145750657
features.3.conv.2,24,importance_score,gap_y1,24,-0.16859239923839264,0.43098855621200355,0.007826086956521738,0.9710483085120961
features.3.conv.2,24,importance_score,activation_gap,24,-0.16469554911041112,0.4418682860719992,0.01826086956521739,0.9325072970015154
features.3.conv.2,24,importance_score,mean_gradient,24,0.4036459373135529,0.050461043858592576,0.5147826086956522,0.010054114049541199
features.4.conv.0.0,144,importance_score,phi,144,0.6150265877240544,2.385895979393082e-16,0.4107909332047263,3.1522030009676834e-07
features.4.conv.0.0,144,importance_score,gap_y0,144,0.4859971381812931,6.621585020612362e-10,0.3171891327063741,0.00010723537716367017
features.4.conv.0.0,144,importance_score,gap_y1,144,0.4834260724200005,8.386853034163927e-10,0.2884856522787558,0.00045402235592345477
features.4.conv.0.0,144,importance_score,activation_gap,144,0.4870479821346832,6.008512199533197e-10,0.3058194678884334,0.00019334111399613318
features.4.conv.0.0,144,importance_score,mean_gradient,144,0.6069479870722276,7.394915898310339e-16,0.41368459127079815,2.5536149428177377e-07
features.4.conv.1.0,144,importance_score,phi,144,0.13682997098178803,0.10197561482600287,0.0737480909894703,0.3796935139019433
features.4.conv.1.0,144,importance_score,gap_y0,144,0.0650964645409327,0.4382379544791634,0.005325134635479463,0.9494916773816293
features.4.conv.1.0,144,importance_score,gap_y1,144,0.05118665533044435,0.5423348119998115,0.023289928462342256,0.7817179477472094
features.4.conv.1.0,144,importance_score,activation_gap,144,0.057671178922882364,0.49233838373440947,0.014604935294590468,0.8620689919072733
features.4.conv.1.0,144,importance_score,mean_gradient,144,0.12334733415415836,0.1407784315202904,0.3584880636604774,1.0246216877717496e-05
features.4.conv.2,32,importance_score,phi,32,0.30486421629757077,0.08976918938327129,0.1315982404692082,0.47279075463162
features.4.conv.2,32,importance_score,gap_y0,32,0.24903401894963267,0.1692963197332786,0.11363636363636363,0.5357449997635357
features.4.conv.2,32,importance_score,gap_y1,32,0.24851698925637616,0.17021244612441816,0.05828445747800586,0.751350988580709
features.4.conv.2,32,importance_score,activation_gap,32,0.2527100456969795,0.16288376827511408,0.09017595307917887,0.6235545121792729
features.4.conv.2,32,importance_score,mean_gradient,32,0.516090582951084,0.0024979220264819994,0.5582844574780057,0.0008985547431306956
features.5.conv.0.0,192,importance_score,phi,192,0.052807521839051526,0.4669490419401657,0.10268595882049754,0.15639041798596376
features.5.conv.0.0,192,importance_score,gap_y0,192,-0.04188436427401168,0.5640541707184318,-0.043698966443317146,0.5472778159235689
features.5.conv.0.0,192,importance_score,gap_y1,192,-0.007983851197772562,0.9124832579629348,0.030181008056859183,0.6777289576351342
features.5.conv.0.0,192,importance_score,activation_gap,192,-0.023815122915020956,0.7429996080664049,-0.0038300599517131005,0.9579514123335156
features.5.conv.0.0,192,importance_score,mean_gradient,192,0.12329357558714128,0.0884265678837504,0.2474313674958631,0.0005400118904651362
features.5.conv.1.0,192,importance_score,phi,192,0.15483682935012394,0.03199912391912445,8.307788297208583e-05,0.9990875044573666
