channel_index,baseline_eo,pruned_eo,delta_eo_abs,phi,gap_y0,gap_y1,activation_gap,mean_gradient,importance_channel
126,0.22731779732677534,0.2239218937640812,0.003395903562694147,3.688895751385858e-06,0.05979961933418802,0.06670824396767949,0.12650786330186753,2.915941867252612e-05,1.5860203461670608e-07
127,0.22731779732677534,0.23114834736726247,0.0038305500404871295,2.3472413294843843e-06,0.056654469964845564,0.08342434720026434,0.1400788171651099,1.6756575883402184e-05,9.560122293805762e-08
128,0.22731779732677534,0.22827610985086033,0.0009583125240849866,4.5496356424692784e-08,0.00023689878161853306,0.0033874801531466325,0.0036243789347651656,1.255286967604027e-05,6.186951395648066e-08
129,0.22731779732677534,0.22650661775481612,0.0008111795719592252,1.9761664063296933e-06,0.09364950458460827,0.11818796779937077,0.21183747238397904,9.328691397656366e-06,3.430671569049082e-08
130,0.22731779732677534,0.22672043058823937,0.0005973667385359704,3.4824969918766653e-07,0.00837550873693696,0.012316971301775323,0.020692480038712283,1.682977093785509e-05,3.7606589842198446e-08
131,0.22731779732677534,0.22688308344449282,0.00043471388228252805,2.1836799258003126e-07,0.011351925584673905,0.007017911236018692,0.018369836820692598,1.1887312593547477e-05,9.876949036424776e-08
132,0.22731779732677534,0.23261992943302706,0.005302132106251717,1.8017035565274546e-06,0.018514378105917002,0.02858383912056183,0.04709821722647883,3.825417738985094e-05,1.63373087502805e-07
133,0.22731779732677534,0.2259163834424264,0.0014014138843489454,2.872478073008306e-06,0.07372113785875728,0.1151072763419409,0.18882841420069818,1.5212107167066838e-05,5.30693107236857e-08
134,0.22731779732677534,0.2300291585120751,0.0027113611852997432,1.690010543110249e-06,0.08012910950760818,0.06683569485769991,0.1469648043653081,1.1499423623287493e-05,6.445804956456413e-08
135,0.22731779732677534,0.22387373820764916,0.0034440591191261805,3.358147364373311e-06,0.06097457656009244,0.0952468483307286,0.15622142489082105,2.1496074349086433e-05,6.570147803586224e-08
136,0.22731779732677534,0.22760473805519538,0.00028694072842003204,1.69681279255721e-06,0.04449928393622672,0.08056222080384967,0.12506150474007638,1.3567826455341384e-05,8.531871742434305e-08
137,0.22731779732677534,0.2255921421899286,0.0017256551368467488,9.025697238084447e-07,0.01062717325295854,0.031270402589537644,0.04189757584249618,2.1542289873796937e-05,8.515935689956677e-08
138,0.22731779732677534,0.22936823670281306,0.002050439376037716,8.536757879470701e-07,0.012644380064305377,0.025271188628520375,0.03791556869282575,2.251517825996896e-05,1.9714039467544353e-07
139,0.22731779732677534,0.22977520500012028,0.00245740767334493,6.538333770624328e-07,0.013102507959266554,0.020300069289397704,0.03340257724866426,1.957433919529605e-05,1.0302880326662489e-07
140,0.22731779732677534,0.22587612320476758,0.001441674122007769,2.1508015339751918e-06,0.053119093273030445,0.06153846609650201,0.11465755936953245,1.8758479997322504e-05,4.967366606933865e-08
141,0.22731779732677534,0.22586591233661923,0.0014518849901561104,7.910120414249065e-07,0.030214795065323125,0.0013158946203318533,0.03153068968565498,2.508705167285893e-05,9.448071125461865e-08
142,0.22731779732677534,0.23121474920921714,0.003896951882441796,1.3629744069164666e-06,0.0078827785904187,0.015476605270142177,0.023359383860560877,5.834804612366777e-05,1.7868202917270537e-07
143,0.22731779732677534,0.2244561280287507,0.002861669298024644,2.3284272548406277e-06,0.06481843574675619,0.10278446331527338,0.16760289906202958,1.389252374434693e-05,9.589994931502588e-08
144,0.22731779732677534,0.22894648805702855,0.0016286907302532072,9.94943466864026e-07,0.012609498085005694,0.024902255304298848,0.03751175338930454,2.6523512685165687e-05,9.736797323967039e-08
145,0.22731779732677534,0.22315576066529166,0.004162036661483681,4.64239129379697e-06,0.0877130788705793,0.08289582453187286,0.17060890340245216,2.721072113596532e-05,8.022132647056424e-08
146,0.22731779732677534,0.22418286063950132,0.0031349366872740203,5.254919443499248e-06,0.12297295391669176,0.10695462814036455,0.22992758205705632,2.2854671877492473e-05,6.785668915654242e-08
147,0.22731779732677534,0.22645953244446157,0.0008582648823137751,7.637672297604907e-07,0.01856199561585975,0.027733631940905445,0.046295627556765195,1.649761046707922e-05,8.231175741002517e-08
148,0.22731779732677534,0.22647142660417563,0.0008463707225997152,3.243560977194213e-07,0.007595808850260025,0.011513209521406303,0.019109018371666328,1.6973980107756685e-05,8.844506282912334e-08
149,0.22731779732677534,0.22861063466561785,0.0012928373388425007,8.241769285912087e-07,0.02991228765022714,0.045528718825809514,0.07544100647603666,1.0924787023526828e-05,4.8922206730139806e-08
